URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_COMPLEX_WORDS,FOG_INDEX,AVG_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLES_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,0.126,0.005,0.9957,0.9957,20.89655172,16.99669967,15.15730056,20.89655172,103,606,1.475247525,27,4.731023102
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,0.144,0.035,0.9995,0.9995,22.47560976,21.21540966,17.47640777,22.47560976,391,1843,1.592512208,37,4.972327727
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,0.116,0.046,0.998,0.998,23.59016393,27.10215427,20.27692728,23.59016393,390,1439,1.738707436,35,5.502432245
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,0.103,0.128,-0.9906,-0.9906,25.625,23.41463415,19.61585366,25.625,336,1435,1.602090592,26,5.358188153
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,0.103,0.006,0.9969,0.9969,22.90697674,20.50761421,17.36583638,22.90697674,202,985,1.575634518,28,5.193908629
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,0.146,0.02,0.9998,0.9998,24.9673913,24.94558119,19.965189,24.9673913,573,2297,1.696996082,44,5.408794079
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,0.085,0.121,-0.9957,-0.9957,20.23809524,18.2745098,15.40504202,20.23809524,233,1275,1.464313725,25,4.919215686
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,0.103,0.029,0.9968,0.9968,21.26923077,27.93851718,19.68309918,21.26923077,309,1106,1.726943942,17,5.594936709
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,0.146,0.092,0.9957,0.9957,21.54098361,24.80974125,18.54028994,21.54098361,326,1314,1.658295282,25,5.560882801
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,0.15,0.118,0.9914,0.9914,23.61904762,18.59879032,16.88713518,23.61904762,369,1984,1.456653226,63,4.928427419
